¿Qué microprocesador revolucionó la informática personal en 1978?,Intel 8086,AMD Ryzen,Motorola 68000,Zilog Z80,"A) Intel 8086: Fue el primer procesador de 16 bits de Intel, base para la arquitectura x86."
¿Qué sistema operativo fue el primero en tener una interfaz gráfica comercial?,MS-DOS,Windows 1.0,Mac OS,Xerox Alto OS,"D) Xerox Alto OS: En 1973, desarrollado por Xerox PARC, precursor de las GUIs."
¿Qué componente se considera el cerebro de un ordenador?,RAM,Fuente de alimentación,CPU,Disco duro,C) CPU: La Unidad Central de Procesamiento ejecuta las instrucciones del software.
"¿Qué lenguaje fue base para C, C++ y Java?",BASIC,Python,Pascal,C,"D) C: Desarrollado en 1972 por Dennis Ritchie en Bell Labs, base de múltiples lenguajes."
¿Qué tecnología permite ejecutar múltiples tareas al mismo tiempo en una CPU?,Multithreading,Compilación,Fragmentación,Caching,A) Multithreading: Permite ejecución concurrente de procesos.
¿Qué es un sistema operativo?,Software para edición de videos,Hardware de red,Programa que gestiona el hardware y software,Placa base,C) Programa que gestiona el hardware y software: Interfaz entre usuario y máquina.
¿Qué función cumple una GPU?,Gestión de RAM,Procesamiento gráfico,Enrutamiento de red,Control del sonido,B) Procesamiento gráfico: Acelera tareas visuales y cálculos masivos.
¿Qué es un compilador?,Dispositivo físico,Traductor de código fuente a máquina,Navegador web,Sistema operativo,B) Traductor de código fuente a máquina: Convierte lenguajes de alto nivel en código ejecutable.
¿Qué empresa desarrolló el primer microprocesador comercial?,IBM,Intel,Microsoft,HP,"B) Intel: En 1971 lanzó el Intel 4004, primer procesador comercial."
¿Qué es un kernel?,Lenguaje de programación,Parte central del sistema operativo,Tipo de compilador,Herramienta de depuración,B) Parte central del sistema operativo: Gestiona recursos del sistema y comunicación con hardware.
¿Cómo surgió el lenguaje Python?,Para inteligencia artificial,Por hobby universitario,Como sucesor de Java,Como proyecto educativo en Holanda,D) Como proyecto educativo en Holanda: Guido van Rossum lo creó en 1989 en el CWI.
¿Cómo se comunicaban las primeras computadoras?,Con voz,Con tarjetas perforadas,Con redes inalámbricas,Con pantallas táctiles,B) Con tarjetas perforadas: Método usado para entrada y almacenamiento de datos en los años 40-60.
¿Cómo se creó el chip del Intel 4004?,Por contrato con NASA,Para uso militar,Por encargo de calculadoras japonesas,Para computadoras de IBM,"C) Por encargo de calculadoras japonesas: Encargado por Busicom, lanzado en 1971."
¿Cómo se desarrolló ARPANET?,Como red académica privada,Como proyecto comercial,Como sistema militar de defensa,Como red pública del MIT,C) Como sistema militar de defensa: Iniciado por el Departamento de Defensa de EE.UU. en 1969.
¿Cómo surgió el concepto de sistema operativo?,Para controlar múltiples usuarios en terminales,Para editar imágenes,Como plataforma de videojuegos,Para redes sociales,A) Para controlar múltiples usuarios en terminales: Nació con mainframes en los 60.
